# Файл содержит русские синсеты, вычисляемые по данным Универсального словаря концептов UNL		
# Публикуется под СС-BY-SA		
# синсет	комментарий	список составляющих синсет UW
#		
# This file contains Russian synsets derived from the U++ UNL Universal Dictionary of Concepts		
# It is published under the terms of СС-BY-SA		
# Format:
# synset	comment	list of UWs which make up the synset		
		
аккомпанемент,вторая партия	"A SUBORDINATE MUSICAL PART"	accompaniment(icl>part>thing)+backup(icl>part>thing,equ>accompaniment)+support(icl>part>thing,equ>accompaniment)
сообщник,соучастник	"A PERSON WHO JOINS WITH ANOTHER IN CARRYING OUT SOME PLAN (ESPECIALLY AN UNETHICAL OR ILLEGAL PLAN)"	accomplice(icl>assistant>thing)+confederate(icl>assistant>thing,equ>accomplice)
выполнять,завершать,исполнять,осуществлять,предпринимать	"","PUT IN EFFECT","TO BRING TO COMPLETION"	accomplish(icl>complete>do,equ>carry_through,agt>thing,obj>thing)+carry_out(icl>complete>do,equ>carry_through,agt>thing,obj>thing)+carry_through(icl>complete>do,agt>thing,obj>thing)+execute(icl>perform>do,agt>person,obj>thing)+undertake(icl>do,equ>carry_out,agt>thing,obj>uw)
достижение,навык,умение	"AN ABILITY THAT HAS BEEN ACQUIRED BY TRAINING","SOMETHING THAT YOU HAVE SUCCEEDED IN ACHIEVING OR LEARNING, SUCH AS A SKILL"	accomplishment(icl>ability>thing,equ>skill)+acquirement(icl>ability>thing,equ>skill)+acquisition(icl>ability>thing,equ>skill)+attainment(icl>result>abstract_thing,agt>person,gol>uw)
выполнение,достижение	"THE ACT OF FINISHING OR ACHIEVING SOMETHING GOOD","THE ACTION OF ACCOMPLISHING SOMETHING"	accomplishment(icl>abstract_thing,equ>carrying_out,agt>person,obj>thing)+achievement(icl>action>thing,equ>accomplishment)
подходить,согласовываться,сочетаться	"GO TOGETHER"	accord(icl>harmonize>be,obj>thing,aoj>thing)+consort(icl>match>occur,equ>harmonize,obj>thing)+fit_in(icl>match>occur,equ>harmonize,cob>thing,obj>thing)+harmonise(icl>correspond>be,equ>accord,obj>uw,aoj>uw)
договор,пакт,соглашение	"A WRITTEN AGREEMENT BETWEEN TWO STATES OR SOVEREIGNS"	accord(icl>written_agreement>thing,equ>treaty)+pact(icl>written_agreement>thing,equ>treaty)+treaty(icl>written_agreement>thing)
в соответствии с,по,согласно	"","IN AGREEMENT WITH OR ACCORDANT WITH"	according_to(icl>in_compliance>how,rsn<uw,obj>uw)+along(icl>how,equ>according_to,rsn<uw,obj>thing)+per(icl>how,equ>according_to,obj>thing)+pursuant_to(icl>how,equ>according_to,obj>thing)+under(icl>how,equ>according_to,obj>thing)
в соответствии с,согласно,соответственно	"IN ACCORDANCE WITH"	accordingly(icl>how)
акушер,акушерка	"A PHYSICIAN SPECIALIZING IN OBSTETRICS"	accoucheur(icl>specialist>thing,equ>obstetrician)+obstetrician(icl>specialist>thing)
быть причиной,составлять	"BE THE SOLE OR PRIMARY FACTOR"	account(icl>cause>be,obj>uw,aoj>thing)
бухгалтер,счетовод	"SOMEONE WHO MAINTAINS AND AUDITS BUSINESS ACCOUNTS"	accountant(icl>businessperson>thing)+controller(icl>businessperson>thing,equ>accountant)
обмундировывать,снаряжать	"PROVIDE WITH MILITARY EQUIPMENT"	accouter(icl>equip>do,agt>thing,obj>thing)+accoutre(icl>equip>do,equ>accouter,cob>thing,agt>thing,obj>concrete_thing)
накопление,наращивание	"THE ACT OF ACCUMULATING"	accrual(icl>increase>thing,equ>accumulation)+accumulation(icl>increase>thing)
усваивание,усвоение	"THE PROCESS OF ASSIMILATING NEW IDEAS INTO AN EXISTING COGNITIVE STRUCTURE"	acculturation(icl>education>thing)+assimilation(icl>education>thing,equ>acculturation)
аккультурация,социализация	"THE ADOPTION OF THE BEHAVIOR PATTERNS OF THE SURROUNDING CULTURE"	acculturation(icl>social_control>thing,equ>socialization)+socialization(icl>social_control>thing)
накапливать,накапливаться,скапливаться	"BE ACCUMULATED IN ONE PLACE","COLLECT OR GATHER","FORM AN INCREASING MASS OR QUANTITY"	accumulate(icl>increase>occur,equ>cumulate,obj>thing)+amass(icl>increase>occur,equ>accumulate,obj>thing)+conglomerate(icl>increase>occur,equ>accumulate,obj>thing)+cumulate(icl>increase>occur,equ>accumulate,obj>thing)+gather(icl>occur,equ>pile_up,plf>thing,obj>thing,plc>thing)+pile_up(icl>accumulate>occur,obj>thing,plc>thing)
накапливать,накоплять,собирать	"GET OR GATHER SMTH TOGETHER","GET OR GATHER TOGETHER"	accumulate(icl>store>do,equ>collect,agt>volitional_thing,obj>thing)+amass(icl>store>do,equ>roll_up,agt>thing,obj>thing)+hoard(icl>store>do,equ>roll_up,agt>thing,obj>thing)+pile_up(icl>accumuylate>do,agt>thing,obj>thing)+roll_up(icl>store>do,agt>thing,obj>thing)
груда,группа,коллекция,конгломерат,скопление	"SEVERAL THINGS GROUPED TOGETHER OR CONSIDERED AS A WHOLE"	accumulation(icl>group>thing,equ>collection)+aggregation(icl>group>thing,equ>collection)+assemblage(icl>group>thing,equ>collection)+collection(icl>group>thing)
верность,истинность,правильность,точность	"THE QUALITY OF BEING NEAR TO THE TRUE VALUE"	accuracy(icl>quality>thing,ant>inaccuracy)+truth(icl>quality>thing,equ>accuracy,ant>inaccuracy)
безошибочно,точно	"STRICTLY CORRECTLY"	accurately(icl>how,com>accurate)
аккузатив,винительный падеж	"THE CATEGORY OF NOUNS SERVING AS THE DIRECT OBJECT OF A VERB"	accusative(icl>oblique>thing)
всегдашний,обычный,привычный	"COMMONLY USED OR PRACTICED"	accustomed(icl>adj)+customary(icl>adj,equ>accustomed)+habitual(icl>adj,equ>accustomed)+wonted(icl>adj,equ>accustomed)
единица,целая часть,целое	"THE SMALLEST WHOLE NUMBER OR A NUMERAL REPRESENTING THIS NUMBER"	ace(icl>digit>thing,equ>one)+one(icl>digit>abstract_thing)+unity(icl>digit>thing,equ>one)
ас,виртуоз,гений,светило,эксперт	"SOMEONE WHO IS DAZZLINGLY SKILLED IN ANY FIELD"	ace(icl>expert>thing)+adept(icl>expert>thing,equ>ace)+champion(icl>expert>thing,equ>ace)+genius(icl>expert>thing,equ>ace)+sensation(icl>expert>thing,equ>ace)+star(icl>expert>thing,equ>ace)+virtuoso(icl>expert>thing,equ>ace)
ожесточать,озлоблять	"CAUSE TO BE BITTER OR RESENTFUL"	acerbate(icl>do,equ>embitter,agt>thing,obj>thing)+embitter(icl>do,agt>thing,obj>thing)+envenom(icl>do,equ>embitter,agt>thing,obj>thing)
едкость,желчность,заострённость,колючесть,резкость	"A ROUGH AND BITTER MANNER"	acerbity(icl>disagreeableness>thing,equ>bitterness)+acrimony(icl>disagreeableness>thing,equ>bitterness)+bitterness(icl>disagreeableness>thing)+jaundice(icl>disagreeableness>thing,equ>bitterness)+thorniness(icl>disagreeableness>thing,equ>bitterness)
иглообразный,игольчатый	"NARROW AND LONG AND POINTED"	acerose(icl>adj,equ>acerate)+needle-shaped(icl>adj,equ>acerate)
закислять,кислить,подкислять	"MAKE SOUR OR MORE SOUR"	acetify(icl>change_taste>do,equ>sour,agt>thing,obj>matter)+acidify(icl>change_taste>do,equ>sour,agt>thing,obj>matter,ins>thing)+acidulate(icl>change_taste>do,equ>sour,agt>thing,ins>matter)+sour(icl>change_taste>do,agt>thing,obj>matter)
болеть,причинять боль	"BE THE SOURCE OF PAIN"	ache(icl>cause_to_be_perceived>occur,obj>thing)+hurt(icl>cause>be,equ>ache,aoj>thing,ben>living_thing)
жаждать,изнывать,томиться,тосковать	"HAVE A DESIRE FOR SOMETHING OR SOMEONE WHO IS NOT PRESENT"	ache(icl>hanker>be,obj>thing,aoj>person)+languish(icl>hanker>occur,equ>ache,obj>thing)+yearn(icl>hanker>occur,equ>ache,obj>thing)
ноющая боль,нытье	"A DULL PERSISTENT (USUALLY MODERATELY INTENSE) PAIN"	ache(icl>pain>thing)
выполнимый,достижимый,осуществимый	"CAPABLE OF EXISTING OR TAKING PLACE OR PROVING TRUE"	achievable(icl>adj,equ>accomplishable)+doable(icl>adj,equ>accomplishable)+manageable(icl>adj,equ>accomplishable)+realizable(icl>adj,equ>accomplishable)
добиваться,достигать	"TO GAIN WITH EFFORT"	achieve(icl>reach>do,obj>thing)+attain(icl>do,equ>gain,agt>volitional_thing,gol>thing)+reach(icl>attain>do,agt>person,gol>uw)
ахроматизм,бесцветность	"THE VISUAL PROPERTY OF BEING WITHOUT CHROMATIC COLOR"	achromatism(icl>visual_property>thing,equ>colorlessness,ant>color)+colourlessness(icl>visual_property>thing,equ>colorlessness,ant>color)
кислость,кислота	"THE TASTE EXPERIENCE WHEN SOMETHING ACIDIC IS TAKEN INTO THE MOUTH"	acidity(icl>sour>thing)
кислота,кислотность	"THE PROPERTY OF BEING ACIDIC"	acidity(icl>taste_property>thing,equ>sourness)+sourness(icl>taste_property>thing)
верх,вершина,кульминация,пик,пиковый уровень,предел	"THE HIGHEST LEVEL OR DEGREE ATTAINABLE"	acme(icl>degree>thing)+elevation(icl>degree>thing,equ>acme)+height(icl>degree>thing,equ>acme)+meridian(icl>degree>thing,equ>acme)+peak(icl>degree>thing,equ>acme)+pinnacle(icl>degree>thing,equ>acme)+summit(icl>degree>thing,equ>acme)+tiptop(icl>degree>thing,equ>acme)+top(icl>degree>abstract_thing,mod>thing)
верхушка,вершина,высшая точка,пик	"THE HIGHEST POINT (OF SOMETHING)"	acme(icl>extreme_point>thing,equ>vertex)+apex(icl>extreme_point>thing,equ>vertex)+peak(icl>extreme_point>thing,equ>vertex)+vertex(icl>extreme_point>thing)
акне,прыщи	"AN INFLAMMATORY DISEASE INVOLVING THE SEBACEOUS GLANDS OF THE SKIN"	acne(icl>skin_disease>thing)
прислужник,псаломщик,служка	"SOMEONE WHO ASSISTS A PRIEST OR MINISTER IN A LITURGICAL SERVICE"	acolyte(icl>clergyman>thing)
знакомить,познакомить,представлять	"CAUSE TO COME TO KNOW PERSONALLY"	acquaint(icl>inform>do,equ>introduce,agt>thing,obj>thing)+introduce(icl>do,equ>acquaint,cob>person,agt>person,obj>person)
послушный,уступчивый	"WILLING TO CARRY OUT THE ORDERS OR WISHES OF ANOTHER WITHOUT PROTEST"	acquiescent(icl>adj)+biddable(icl>adj,equ>acquiescent)
добиваться,добывать,стяжать	"WIN SOMETHING THROUGH ONE'S EFFORTS"	acquire(icl>do,agt>thing,obj>uw,frm>uw)+gain(icl>acquire>do,equ>win,agt>thing,obj>thing)+win(icl>get>do,equ>acquire,agt>volitional_thing,obj>thing,cag>thing,scn>thing)
научиться,усваивать,учиться	"GAIN KNOWLEDGE OR SKILLS","LEARN"	acquire(icl>learn>do,agt>volitional_thing,obj>information)+larn(icl>do,equ>learn,agt>volitional_thing,obj>thing)+learn(icl>acquire>do,src>uw,agt>volitional_thing,obj>thing)
обретать,принимать	"TAKE ON A CERTAIN ATTRIBUTE","TAKE ON A CERTAIN FORM","TAKE ON A CERTAIN FORM, ATTRIBUTE, OR ASPECT"	acquire(icl>take_on>do,agt>thing,obj>thing)+adopt(icl>change>be,equ>assume,obj>thing,aoj>thing)+assume(icl>acquire>occur,cob>property,obj>thing)+take_on(icl>change>be,equ>assume,obj>thing,aoj>thing)
изучение,усваивание,учение	"THE COGNITIVE PROCESS OF ACQUIRING SKILL OR KNOWLEDGE"	acquisition(icl>basic_cognitive_process>thing,equ>learning)+learning(icl>basic_cognitive_process>thing)
вести себя,держаться	"BEHAVE IN A CERTAIN MANNER"	acquit(icl>hold>do,equ>behave,agt>thing,obj>thing)+carry_oneself(icl>hold>do,equ>behave,agt>person)+comport(icl>hold>do,equ>behave,agt>thing,obj>thing)+conduct(icl>act>do,equ>behave,agt>person)+deport(icl>hold>do,equ>behave,agt>thing,obj>thing)
оправдывать,реабилитировать,снимать обвинения	"PRONOUNCE NOT GUILTY OF CRIMINAL CHARGES"	acquit(icl>pronounce>do,cob>thing,agt>volitional_thing,obj>person)+assoil(icl>pronounce>do,equ>acquit,agt>thing,obj>thing)+clear(icl>pronounce>do,equ>acquit,cob>abstract_thing,agt>thing,obj>thing)+discharge(icl>pronounce>do,equ>acquit,agt>thing,obj>thing)+exculpate(icl>pronounce>do,equ>acquit,cob>thing,agt>volitional_thing,obj>person)+exonerate(icl>pronounce>do,equ>acquit,cob>thing,agt>volitional_thing,obj>person)
желчный,ожесточенный	"MARKED BY STRONG RESENTMENT OR CYNICISM"	acrimonious(icl>adj)+bitter(icl>adj,equ>acrimonious)
акробатический,атлетический,гимнастический	"VIGOROUSLY ACTIVE"	acrobatic(icl>adj)+athletic(icl>adj,equ>acrobatic)+gymnastic(icl>adj,equ>acrobatic)
напротив,поперек,поперечно	"TRANSVERSELY"	across(icl>how)+crosswise(icl>how,equ>across)
вести себя,действовать	"ACT IN A CERTAIN MANNER","BEHAVE IN A CERTAIN MANNER"	act(icl>do,agt>thing,man>how)+behave(icl>act>do,agt>animate_thing,man>how)+do(icl>occur,equ>act,obj>thing,man>uw)
деяние,поступок	"SOMETHING THAT PEOPLE DO OR CAUSE TO HAPPEN"	act(icl>event>thing)
акт,действие,номер	"A SHORT THEATRICAL PERFORMANCE THAT IS PART OF A LONGER PROGRAM"	act(icl>performance>thing)+number(icl>performance>thing,equ>act)+routine(icl>performance>thing,equ>act)
играть,играть роль,представлять	"PLAY A ROLE OR PART","TO ACT A PART OF"	act(icl>play>do,agt>thing,obj>role)+play(icl>perform>do,com>theatre,agt>person,obj>person,ptn>thing,scn>thing)+represent(icl>re-create>do,equ>act,agt>thing)
действовать,срабатывать	"HAVE AN EFFECT OR OUTCOME"	act(icl>result>occur,equ>work,obj>thing)
боевые действия,бой	"AN ARMED CONFLICT"	action(icl>action,equ>fighting,agt>thing)
активность,воздействие,действие	"A PROCESS EXISTING IN OR PRODUCED BY NATURE (RATHER THAN BY THE INTENT OF HUMAN BEINGS)","EXERTION OF ENERGY OR INFLUENCE"	action(icl>process,equ>influence,cob>thing,obj>thing)+activity(icl>process>thing,equ>natural_process)
активный,действующий	"(OF E.G. VOLCANOS) ERUPTING OR LIABLE TO ERUPT"	active(icl>adj,ant>dormant)
активный,деятельный	"CHARACTERIZED BY ENERGETIC ACTIVITY"	active(icl>adj,ant>inactive)
активист,боевик	"A MILITANT REFORMER"	activist(icl>reformer>thing,equ>militant)+militant(icl>reformer>thing)
деятель,исполнитель	"A PERSON WHO ACTS AND GETS THINGS DONE"	actor(icl>person>thing)+doer(icl>person>thing,equ>actor)+worker(icl>person>thing,equ>actor)
настоящий,реальный,сущий	"BEING OR REFLECTING THE ESSENTIAL OR GENUINE CHARACTER OF SOMETHING"	actual(icl>adj)+genuine(icl>adj,equ>actual)+literal(icl>adj,equ>actual)+real(icl>adj,equ>actual)
современный,текущий,фактический	"PRESENTLY EXISTING IN FACT AND NOT MERELY POTENTIAL OR POSSIBLE"	actual(icl>adj,ant>potential)
действительность,реальность	"THE STATE OF ACTUALLY EXISTING OBJECTIVELY"	actuality(icl>being>thing)
осуществление,реализация	"MAKING REAL OR GIVING THE APPEARANCE OF REALITY"	actualization(icl>creating_by_mental_acts>thing,equ>realization)+realization(icl>creating_by_mental_acts>thing)
действительно,реально,фактически	"IN ACTUAL FACT"	actually(icl>how,com>actual)+really(icl>how,equ>actually,com>real)
секретарь,статистик	"SOMEONE VERSED IN THE COLLECTION AND INTERPRETATION OF NUMERICAL DATA (ESPECIALLY SOMEONE WHO USES STATISTICS TO CALCULATE INSURANCE PREMIUMS)"	actuary(icl>calculator>thing,equ>statistician)+statistician(icl>calculator>thing)
заставлять,побуждать,подвигнуть,толкнуть	"CAUSE TO ACT","GIVE AN INCENTIVE FOR ACTION","TO BE THE REASON WHY SOMEONE DOES SOMETHING"	actuate(icl>cause>do,equ>motivate,agt>thing,obj>thing)+incite(icl>cause>do,equ>motivate,agt>thing,obj>thing)+motivate(icl>cause>be,obj>person,aoj>thing,gol>uw)+move(icl>cause>do,agt>thing,obj>volitional_thing,gol>uw)+prompt(icl>cause>do,equ>motivate,agt>volitional_thing,obj>thing,cag>volitional_thing)+propel(icl>cause>do,equ>motivate,agt>thing,obj>thing)
вызывать,вызывать срабатывание,задевать,запускать,зацеплять,инициировать,приводить в движение,провоцировать	"PUT IN MOTION OR MOVE TO ACT"	actuate(icl>initiate>do,equ>trip,agt>thing,obj>thing)+set_off(icl>initiate>occur,equ>trip,cob>thing,obj>thing,gol>thing)+spark(icl>initiate>occur,equ>trip,cob>thing,obj>thing,gol>thing)+spark_off(icl>initiate>do,equ>trip,agt>thing,obj>thing)+trigger(icl>cause>do,agt>thing,obj>thing)+trigger_off(icl>cause>do,agt>thing,obj>thing)+trip(icl>initiate>do,agt>thing,obj>thing)
актуация,привод в движение,продвижение,сообщение движения	"THE ACT OF PROPELLING"	actuation(icl>deed>thing,equ>propulsion)+propulsion(icl>deed>thing)
листовидный,листообразный	"OF A LEAF SHAPE"	acuminate(icl>adj)
обостренный,острый,проницательный,тонкий	"HAVING OR DEMONSTRATING ABILITY TO RECOGNIZE OR DRAW FINE DISTINCTIONS"	acute(icl>adj)+discriminating(icl>adj,equ>acute)+incisive(icl>adj,equ>acute)+keen(icl>adj,equ>acute)+penetrative(icl>adj,equ>acute)+piercing(icl>adj,equ>acute)+sharp(icl>adj,equ>acute)
остро,проницательно	"IN A SHREWD MANNER"	acutely(icl>how,equ>astutely,com>sharp)+sagaciously(icl>how,equ>astutely,com>sagacious)+sapiently(icl>how,equ>astutely,com>sapient)+shrewdly(icl>how,equ>astutely,com>shrewd)
бесконечно,до бесконечности	"TO INFINITY"	ad_infinitum(icl>how,com>infinite)
изречение,поговорка,пословица	"A CONDENSED BUT MEMORABLE SAYING EMBODYING SOME IMPORTANT FACT OF EXPERIENCE THAT IS TAKEN AS TRUE BY MANY PEOPLE"	adage(icl>saying>thing,equ>proverb)+byword(icl>saying>thing,equ>proverb)+proverb(icl>saying>thing)+saw(icl>saying>thing,equ>proverb)
непреклонный,непримиримый,несгибаемый,несокрушимый	"IMPERVIOUS TO PLEAS, PERSUASION, REQUESTS, REASON"	adamant(icl>adj)+adamantine(icl>adj,equ>adamant)+inexorable(icl>adj,equ>adamant)+intransigent(icl>adj,equ>adamant)
адаптироваться,подчиняться,привыкать	"ADAPT ONESELF TO EXISTING CONDITIONS OF RULES","CONFORM ONESELF TO NEW OR DIFFERENT CONDITIONS"	adapt(icl>change>occur,equ>conform,cob>thing,obj>thing)+adjust(icl>change>occur,equ>conform,cob>thing,obj>thing)+conform(icl>do,equ>comply_with,cob>abstract_thing,agt>volitional_thing)
